date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:07:37	25302/25302	---MCZ	200	added ('OK')	text/html	etag:%221603352043000|#public|0|en|||0|-1808380672|338416608%22	https://sites.google.com/site/vmkale/ug/NMO/CONM-programs/odesolver	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/ug/NMO/CONM-programs/odesolver.html	(from https://sites.google.com/site/vmkale/)
12:07:42	31340/31340	---MCZ	200	added ('OK')	text/html	etag:%221603352043000|#public|0|en|||0|-1808380672|338416608%22	https://sites.google.com/site/vmkale/ug/NMO/CONM-programs/someprogramsonyourrequest	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/ug/NMO/CONM-programs/someprogramsonyourrequest.html	(from https://sites.google.com/site/vmkale/)
12:07:48	28915/28915	---MCZ	200	added ('OK')	text/html	etag:%221603352043000|#public|0|en|||0|-1808380672|338416608%22	https://sites.google.com/site/vmkale/ug/NMO/CONM-programs/solutionbyusingsolver	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/ug/NMO/CONM-programs/solutionbyusingsolver.html	(from https://sites.google.com/site/vmkale/)
12:07:56	32377/32377	---MCZ	200	added ('OK')	text/html	etag:%221603352043000|#public|0|en|||0|-1808380672|338416608%22	https://sites.google.com/site/vmkale/ug/NMO/CONM-programs/odeprograms	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/ug/NMO/CONM-programs/odeprograms.html	(from https://sites.google.com/site/vmkale/)
12:08:04	32649/32649	---MCZ	200	added ('OK')	text/html	etag:%221603352043000|#public|0|en|||0|-1808380672|338416608%22	https://sites.google.com/site/vmkale/system/app/pages/recentChanges	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/system/app/pages/recentChanges.html	(from https://sites.google.com/site/vmkale/)
12:08:08	11233/11233	---MCZ	200	added ('OK')	text/html	etag:%221603352043000|#public|0|en|||0|-1808380672|338416608%22	https://sites.google.com/site/vmkale/system/app/pages/reportAbuse	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/system/app/pages/reportAbuse.html	(from https://sites.google.com/site/vmkale/)
12:08:13	24235/24235	---MCZ	200	added ('OK')	text/html	etag:%221603352043000|#public|0|en|||0|-1808380672|338416608%22	https://sites.google.com/site/vmkale/ug/NMO/conm-question-papers	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/ug/NMO/conm-question-papers.html	(from https://sites.google.com/site/vmkale/)
12:08:30	23737/23737	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Nov%202020%2019:07:24%20GMT	http://www-sites-opensocial.googleusercontent.com/gadgets/js/rpc.js?container=enterprise&nocache=0&debug=0&c=1&v=598227cdd18b4c3f2f7c5bc8229c65de&sv=10	D:/git/vmkale.a4u.ac.in/a4u/www-sites-opensocial.googleusercontent.com/gadgets/js/rpc2c41.js	(from https://sites.google.com/site/vmkale/)
12:08:50	316396/316396	---M--	200	added ('OK')	text/javascript	date:Thu,%2022%20Oct%202020%2008:30:16%20GMT	https://ssl.gstatic.com/sites/p/0bb9d3/system/js/jot_min_view__en.js	D:/git/vmkale.a4u.ac.in/a4u/ssl.gstatic.com/sites/p/0bb9d3/system/js/jot_min_view__en.js	(from https://sites.google.com/site/vmkale/)
12:11:58	1779208/1779208	---M--	200	added ('OK')	text/javascript	date:Thu,%2022%20Oct%202020%2008:30:16%20GMT	https://ssl.gstatic.com/sites/p/0bb9d3/system/js/trog_edit__en.js	D:/git/vmkale.a4u.ac.in/a4u/ssl.gstatic.com/sites/p/0bb9d3/system/js/trog_edit__en.js	(from https://sites.google.com/site/vmkale/)
